id,version,class,group,namespace,time,batch
595,2025-08-21-084947,"App\Database\Migrations\CreateUsersTable",default,App,1763895309,1
596,2025-09-06-080639,"App\Database\Migrations\CreateBillingTable",default,App,1763895309,1
597,2025-09-06-080934,"App\Database\Migrations\CreateAdminTable",default,App,1763895309,1
598,2025-09-13-070656,"App\Database\Migrations\CreateServiceReportsTable",default,App,1763895309,1
599,2025-09-21-095332,"App\Database\Migrations\CreateUserInformation",default,App,1763895309,1
600,2025-09-22-123400,"App\Database\Migrations\CreatePasswordResetTable",default,App,1763895309,1
601,2025-10-02-110152,"App\Database\Migrations\CreateSuperAdminTable",default,App,1763895309,1
602,2025-10-04-161829,"App\Database\Migrations\AddDescriptionToBillings",default,App,1763895309,1
603,2025-10-08-095645,"App\Database\Migrations\CreatePaymentsTable",default,App,1763895309,1
604,2025-11-11-074803,"App\Database\Migrations\CreateGcashSettingsTable",default,App,1763895309,1
605,2025-11-16-000001,"App\Database\Migrations\CreateAdminArchivedTable",default,App,1763895309,1
606,2025-11-16-000010,"App\Database\Migrations\CreateAdminActivityLogs",default,App,1763895309,1
607,2025-11-16-120000,"App\Database\Migrations\AddInactiveUsersAndArchivedBillings",default,App,1763895309,1
608,2025-11-18-020000,"App\Database\Migrations\AddUniqueIndexToInactiveUsers",default,App,1763895309,1
609,2025-11-18-120000,"App\Database\Migrations\AddNamesToSuperAdmin",default,App,1763895309,1
610,2025-11-18-220001,"App\Database\Migrations\AddSuperadminOtpAndFlags",default,App,1763895309,1
611,2025-11-18-220002,"App\Database\Migrations\AddSuperadminSecurityFields",default,App,1763895309,1
612,2025-11-18-220003,"App\Database\Migrations\CreateSuperadminActions",default,App,1763895309,1
613,2025-11-18-220004,"App\Database\Migrations\AddAdminCodeUsedAt",default,App,1763895309,1
614,2025-11-19-000001,"App\Database\Migrations\CreateChatMessages",default,App,1763895309,1
615,2025-11-19-000002,"App\Database\Migrations\AddUserNameToChatMessages",default,App,1763895309,1
616,2025-11-20-000001,"App\Database\Migrations\AddMustChangePassword",default,App,1763895309,1
617,2025-11-20-120000,"App\Database\Migrations\AddActorToPasswordResets",default,App,1763895309,1
618,20251121113000,"App\Database\Migrations\AddBalanceToBillings",default,App,1763895309,1
619,2025-11-21-113500,"App\Database\Migrations\AddIsInternalToChatMessages",default,App,1763895309,1
620,2025-11-21-230000,"App\Database\Migrations\AddAdminRecipientToChatMessages",default,App,1763895309,1
621,2025-11-23-000001,"App\Database\Migrations\CreateAdminChats",default,App,1763895309,1
