id,user_id,description,bill_no,amount_due,balance,status,billing_month,due_date,paid_date,remarks,created_at,updated_at
1,1,,BILL-001,60.00,0.00,Pending,September,2025-11-30,,"Monthly water usage for September","2025-11-23 18:55:20","2025-11-23 18:55:20"
2,1,,BILL-002,60.00,0.00,Pending,October,2025-12-23,,"Monthly water usage for October","2025-11-23 18:55:20","2025-11-23 18:55:20"
3,3,,BILL-OTC-PAID-6922e81847d7a,500.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Paid over-the-counter","2025-11-23 18:55:20","2025-11-23 18:55:20"
4,4,,BILL-OTC-001,500.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting over-the-counter payment","2025-11-23 18:55:20","2025-11-23 18:55:20"
5,5,,BILL6922E81886819,465.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:20","2025-11-23 18:55:20"
6,6,,BILL6922E818A81B1,414.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:20","2025-11-23 18:55:20"
7,7,,BILL6922E818C8E05,383.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:20","2025-11-23 18:55:20"
8,8,,BILL6922E818E95A5,409.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:20","2025-11-23 18:55:20"
9,9,,BILL6922E819137DD,484.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:21","2025-11-23 18:55:21"
10,10,,BILL6922E81935093,464.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:21","2025-11-23 18:55:21"
11,11,,BILL6922E81956D27,377.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:21","2025-11-23 18:55:21"
12,12,,BILL6922E81974639,464.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:21","2025-11-23 18:55:21"
13,13,,BILL6922E8199303F,404.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:21","2025-11-23 18:55:21"
14,14,,BILL6922E819B2954,389.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:21","2025-11-23 18:55:21"
