id,version,class,group,namespace,time,batch
798,2025-08-21-084947,"App\Database\Migrations\CreateUsersTable",default,App,1764072893,1
799,2025-09-06-080639,"App\Database\Migrations\CreateBillingTable",default,App,1764072893,1
800,2025-09-06-080934,"App\Database\Migrations\CreateAdminTable",default,App,1764072893,1
801,2025-09-13-070656,"App\Database\Migrations\CreateServiceReportsTable",default,App,1764072893,1
802,2025-09-21-095332,"App\Database\Migrations\CreateUserInformation",default,App,1764072894,1
803,2025-09-22-123400,"App\Database\Migrations\CreatePasswordResetTable",default,App,1764072894,1
804,2025-10-02-110152,"App\Database\Migrations\CreateSuperAdminTable",default,App,1764072894,1
805,2025-10-04-161829,"App\Database\Migrations\AddDescriptionToBillings",default,App,1764072894,1
806,2025-10-08-095645,"App\Database\Migrations\CreatePaymentsTable",default,App,1764072894,1
807,2025-11-11-074803,"App\Database\Migrations\CreateGcashSettingsTable",default,App,1764072894,1
808,2025-11-16-000001,"App\Database\Migrations\CreateAdminArchivedTable",default,App,1764072894,1
809,2025-11-16-000010,"App\Database\Migrations\CreateAdminActivityLogs",default,App,1764072894,1
810,2025-11-16-120000,"App\Database\Migrations\AddInactiveUsersAndArchivedBillings",default,App,1764072894,1
811,2025-11-18-020000,"App\Database\Migrations\AddUniqueIndexToInactiveUsers",default,App,1764072894,1
812,2025-11-18-120000,"App\Database\Migrations\AddNamesToSuperAdmin",default,App,1764072894,1
813,2025-11-18-220001,"App\Database\Migrations\AddSuperadminOtpAndFlags",default,App,1764072894,1
814,2025-11-18-220002,"App\Database\Migrations\AddSuperadminSecurityFields",default,App,1764072894,1
815,2025-11-18-220004,"App\Database\Migrations\AddAdminCodeUsedAt",default,App,1764072894,1
816,2025-11-19-000001,"App\Database\Migrations\CreateChatMessages",default,App,1764072894,1
817,2025-11-19-000002,"App\Database\Migrations\AddUserNameToChatMessages",default,App,1764072894,1
818,2025-11-20-000001,"App\Database\Migrations\AddMustChangePassword",default,App,1764072894,1
819,2025-11-20-120000,"App\Database\Migrations\AddActorToPasswordResets",default,App,1764072894,1
820,2025-11-21-113500,"App\Database\Migrations\AddIsInternalToChatMessages",default,App,1764072894,1
821,2025-11-21-230000,"App\Database\Migrations\AddAdminRecipientToChatMessages",default,App,1764072894,1
822,2025-11-23-000001,"App\Database\Migrations\CreateAdminChats",default,App,1764072894,1
823,2025-11-25-120000,"App\Database\Migrations\BackfillBillingStatusFromPayments",default,App,1764072894,1
